MAL_ID,Name,Score
,,
32380,Kono Subarashii Sekai ni Shukufuku wo! Kono Subarashii Choker ni Shukufuku wo!,5
,,
38040,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,10
,,
34389,Koro-sensei Quest!,6
,,
16782,Kotonoha no Niwa,3
,,
32268,Koyomimonogatari,8
,,
40974,Kuma Kuma Kuma Bear,7
,,
50338,Kunoichi Tsubaki no Mune no Uchi,7
,,
32949,Kuzu no Honkai,5
,,
39017,Kyokou Suiri,6
,,
44204,Kyokou Suiri Season 2,5
,,
18153,Kyoukai no Kanata,7
,,
25015,Kyoukai no Kanata Movie 1: I'll Be Here - Kako-hen,7
,,
28675,Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,6
,,
16353,Love Lab,6
,,
1887,Lucky☆Star,7
,,
4472,Lucky☆Star: Original na Visual to Animation,6
,,
27947,Lupin III (2015),7
,,
50709,Lycoris Recoil,7
,,
8310,Magic Kaito,6
,,
25517,Magic Kaito 1412,6
,,
20785,Mahouka Koukou no Rettousei,6
,,
40571,Majo no Tabitabi,7
,,
49470,Mamahaha no Tsurego ga Motokano datta,7
,,
33487,Masamune-kun no Revenge,7
,,
20541,Mikakunin de Shinkoukei,6
,,
49483,Mini Dragon Specials,5
,,
32182,Mob Psycho 100,8
,,
37510,Mob Psycho 100 II,8
,,
17074,Monogatari Series: Second Season,8
,,
164,Mononoke Hime,7
,,
9181,Motto To LOVE-Ru,7
,,
41619,Munou na Nana,7
,,
39535,Mushoku Tensei: Isekai Ittara Honki Dasu,8
,,
45576,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8
,,
41168,Nakitai Watashi wa Neko wo Kaburu,7
,,
34580,Nana Maru San Batsu,5
,,
23755,Nanatsu no Taizai,4
,,
38397,Nande Koko ni Sensei ga!?,3
,,
15689,Nekomonogatari: Kuro,7
,,
31404,Netoge no Yome wa Onnanoko ja Nai to Omotta?,5
,,
31953,New Game!,8
,,
34914,New Game!!,8
,,
1210,NHK ni Youkoso!,2
,,
10165,Nichijou,7
,,
18897,Nisekoi,7
,,
27787,Nisekoi:,7
,,
11597,Nisemonogatari,7
,,
19815,No Game No Life,6
,,
33674,No Game No Life: Zero,5
,,
17549,Non Non Biyori,6
,,
36990,Non Non Biyori Movie: Vacation,5
,,
39808,Non Non Biyori Nonstop,6
,,
23623,Non Non Biyori Repeat,5
,,
32547,Non Non Biyori Repeat: Hotaru ga Tanoshinda,5
,,
21667,Non Non Biyori: Okinawa e Ikukoto ni Natta,5
,,
20507,Noragami,6
,,
30503,Noragami Aragoto,6
,,
30885,Noragami Aragoto OVA,7
,,
20767,Noragami OVA,8
,,
30276,One Punch Man,7
,,
34134,One Punch Man 2nd Season,6
,,
34392,One Room,4
,,
36431,One Room: Second Season,4
,,
8769,Ore no Imouto ga Konnani Kawaii Wake ga Nai,7
,,
10020,Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,7
,,
